'ManagementCompanyName',Character
'ManagementCompanyName2',Character
'ManagementCompanyPhone',Character
'ManagementCompanyPhoneExt',Character
'ManagementCompanyPhone2',Character
'ManagementCompanyPhone2Ext',Character
'LockBoxLocation',Long
'LockBoxType',Long
'ShowingContactPhone',Character
'ShowingContactPhoneExt',Character
'City',Long
'County',Long
'CrossStreets',Character
'FullStreetAddress',Character
'State',Long
'StreetDirPrefix',Long
'StreetDirSuffix',Long
'StreetName',Character
'StreetNumber',Int
'StreetNumberModifier',Character
'StreetSuffix',Long
'StreetSuffixModifier',Character
'UnitNumber',Character
'ZipCode',Character
'ZipCodePlus4',Character
'AssociationAmenities',Long
'AssociationFeesInclude',Long
'AssociationName',Character
'AssociationRules',Long
'BuildersModelCode',Character
'CommunityFeatures',Long
'ElementarySchool',Character
'HOAFeeFrequency2',Long
'HighSchool',Character
'JuniorMiddleSchool',Character
'PlayingCourts',Long
'PoolAccessories',Long
'PoolConstruction',Long
'PoolDescriptions',Long
'DistanceToBeachInMiles',Decimal
'Area',Long
'AreaOther',Character
'CityOther',Character
'DirectionFaces',Long
'DrivingDirections',Character
'IsSignOnPropertyYN',Boolean
'LotLocation',Long
'OtherStructuralFeatures',Long
'SchoolDistrict',Long
'TaxLegalLotNumber',Character
'TaxLegalTractNumber',Character
'TaxParcelNumber',Character
'UnitLocation',Character
'View',Long
'Latitude',Decimal
'Longitude',Decimal
'ThomasGuideFullMapString',Character
'ThomasGuideMapPage',Int
'ThomasMapXLetter',Character
'ThomasMapYNumber',Character
'MatchCode',Long
'GeocodeOverrideYN',Boolean
