SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
SaleOfficeFax,,SaleOfficeFax,X62865144,SaleOfficeFax,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleOfficeID,,SaleOfficeID,X88277,SaleOfficeID,25,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleOfficeName,,SaleOfficeName,X40702143,SaleOfficeName,80,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleOfficePhone,,SaleOfficePhone,X62865145,SaleOfficePhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleOfficePhoneExt,,SaleOfficePhoneExt,X40702568,SaleOfficePhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
WillConsiderLeaseYN,,WillConsiderLeaseYN,X40706515,WillConsiderLeaseYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
AltAgentOfficeKey,,AltAgentOfficeKey,X162043260,AltAgentOfficeKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
AltSaleAgentOfficeKey,,AltSaleAgentOfficeKey,X40706854,AltSaleAgentOfficeKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
ListAgentOfficeKey,,ListAgentOfficeKey,X88500,ListAgentOfficeKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
SaleAgentOfficeKey,,SaleAgentOfficeKey,X88512,SaleAgentOfficeKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
AltAgentLicenseNumber,,AltAgentLicenseNumber,X3846706,AltAgentLicenseNumber,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AltSaleAgentLicenseNumber,,AltSaleAgentLicenseNumber,X3846712,AltSaleAgentLicenseNumber,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ListAgentLicenseNumber,,ListAgentLicenseNumber,X3846703,ListAgentLicenseNumber,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentLicenseNumber,,SaleAgentLicenseNumber,X3846709,SaleAgentLicenseNumber,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AltBrokerLicenseNumber,,AltBrokerLicenseNumber,X3846691,AltBrokerLicenseNumber,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AltSaleBrokerLicenseNumber,,AltSaleBrokerLicenseNumber,X3846695,AltSaleBrokerLicenseNumber,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ListBrokerLicenseNumber,,ListBrokerLicenseNumber,X3846689,ListBrokerLicenseNumber,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleBrokerLicenseNumber,,SaleBrokerLicenseNumber,X3846693,SaleBrokerLicenseNumber,12,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
OwnersName,,OwnersName,X116539,OwnersName,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AssociationPhoneNumber,,AssociationPhoneNumber,X40960972,AssociationPhoneNumber,20,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AssociationPhoneNumberExt,,AssociationPhoneNumberExt,X71861114,AssociationPhoneNumberExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ManagementCompanyName,,ManagementCompanyName,X116348,ManagementCompanyName,40,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ManagementCompanyName2,,ManagementCompanyName2,X40703468,ManagementCompanyName2,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ManagementCompanyPhone,,ManagementCompanyPhone,X62865141,ManagementCompanyPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ManagementCompanyPhoneExt,,ManagementCompanyPhoneExt,X114252,ManagementCompanyPhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ManagementCompanyPhone2,,ManagementCompanyPhone2,X62865142,ManagementCompanyPhone2,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ManagementCompanyPhone2Ext,,ManagementCompanyPhone2Ext,X114253,ManagementCompanyPhone2Ext,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
LockBoxLocation,,LockBoxLocation,X40706488,LockBoxLocation,15,Long,0,1,LookupMulti,Left,0,,LOCKBOX_LOCATION,14,,1,,,0,,,0,,,,,
